month,avg_pricemo
1,244.74889886588505
2,246.08788786525744
3,249.8712946949282
4,256.4153197752208
5,256.6144541339539
6,259.3685235530925
7,257.1781096914297
8,255.70526053663698
9,254.03336178235227
10,264.1859548851838
11,247.1051692994466
12,240.77478727677757
